"","id","afr","dob","aoc","absw95","absw98","absw00","absw02","absw04","absw06","absw10","age_absw95","age_absw98","age_absw00","age_absw02","age_absw04","age_absw06","age_absw10"
"347",220,NA,1990,20,NA,474.56,238.35,70.62,226.83,633.15,NA,5,8,10,12,14,16,20
"281",221,NA,1996,14,NA,NA,NA,NA,NA,NA,2352.87,NA,2,4,6,8,10,14
"391",222,19.5972222222222,1977,29,NA,NA,NA,150.87,NA,NA,NA,18,21,23,25,27,29,33
"328",223,19.4166666666667,1984,26,680.55,885.91,1223.02,1399.56,1989.8,2520.56,NA,11,14,16,18,20,22,26
"216",224,18.4166666666667,1986,24,NA,NA,NA,NA,84.23,382.94,533.43,9,12,14,16,18,20,24
"158",225,19,1979,31,NA,NA,231.1,247.17,472.12,1472.29,3202.85,16,19,21,23,25,27,31
"161",226,17.3,1981,29,127.4,218.6,60.44,1457.34,472.12,559.45,1254.71,14,17,19,21,23,25,29
"192",227,NA,2001,9,NA,NA,NA,NA,91.67,99.87,222.9,NA,NA,NA,1,3,5,9
"316",228,NA,2000,10,NA,NA,NA,NA,NA,NA,676.8,NA,NA,0,2,4,6,10
"22",229,NA,1994,16,625.95,901.51,1117.44,659.12,623.38,642.86,4344.55,1,4,6,8,10,12,16
"376",230,17.8333333333333,1980,30,287.95,321.17,NA,NA,NA,NA,NA,15,18,20,22,24,26,30
"469",231,18,1980,30,NA,NA,NA,226.84,NA,NA,NA,15,18,20,22,24,26,30
"298",232,NA,1996,14,NA,NA,NA,NA,NA,NA,194.38,NA,2,4,6,8,10,14
"320",233,13.5583333333333,1988,18,NA,NA,67.88,1796.53,333.24,NA,NA,7,10,12,14,16,18,22
"403",234,NA,1980,26,NA,NA,1232.32,NA,NA,NA,NA,15,18,20,22,24,26,30
"130",235,NA,1993,17,NA,49.09,NA,NA,251.63,2043.77,33886.77,2,5,7,9,11,13,17
"73",236,17,1984,26,40.95,49.09,60.44,200.09,NA,300.04,1100.62,11,14,16,18,20,22,26
"426",237,NA,1992,14,35.1,84.19,178.39,NA,NA,NA,NA,3,6,8,10,12,14,18
"329",238,15.25,1981,29,NA,NA,NA,360.6,655.64,2352.16,NA,14,17,19,21,23,25,29
"222",239,17.225,1986,24,35.1,57.28,67.88,83.46,84.23,389.89,1416.95,9,12,14,16,18,20,24
"117",240,NA,1998,12,NA,934.27,1127.01,854.94,84.23,2148.03,2347.41,NA,0,2,4,6,8,12
"114",241,19.3138888888889,1976,34,NA,175.31,240.26,247.17,300.38,620.62,505.66,19,22,24,26,28,30,34
"234",242,17.05,1987,23,103.35,NA,76.14,114.49,276.42,476.07,NA,8,11,13,15,17,19,23
"307",243,15.8777777777778,1989,21,NA,132.94,87.75,NA,NA,NA,NA,6,9,11,13,15,17,21
"224",244,20.7388888888889,1984,26,NA,825.97,600.02,692.29,3423.55,559.45,169.42,11,14,16,18,20,22,26
"406",245,NA,1997,13,NA,154.39,71.6,100.58,294.8,133.24,NA,NA,1,3,5,7,9,13
